ticker,total_days,train_days,test_days,rows_removed,rmse,mae,r2,direction_accuracy,current_price,predicted_price,change_pct,trend,categories
AAT,1026,820,206,10,0.7847063530166649,0.736439721051929,-7.2475985092150115,0.39805825242718446,2.98,4.154135,39.40051097997883,UP,bottom_r2
ACM,2270,1816,454,19,0.04392091706080337,0.03199002123089088,0.8190497366021493,0.7158590308370044,0.7,0.62904304,-10.13670819146292,DOWN,lowest_rmse
AGM,2948,2358,590,141,2.138297051557311,1.6598904739638507,0.914112511166113,0.4186440677966102,1.69,6.29752,272.6343290340266,UP,highest_rise
AGX,1514,1211,303,906,47.07655987148219,35.773505945992554,-1.3278646716465219,0.7458745874587459,158.0,37.70316,-76.13724092893963,DOWN,"highest_fall, highest_rmse"
BHG,40,32,8,1394,0.05039844038273217,0.049163103103637695,0.0,0.0,11.0,11.05761,0.5237232555042614,UP,lowest_dir_accuracy
BSA,1640,1312,328,10,4.024419931783035,3.739526767032902,-6.184742449993869,0.698170731707317,22.2,17.011736,-23.370558936316684,DOWN,bottom_r2
CAD,2749,2199,550,219,0.046972645139440744,0.026823846047574835,0.9829261476137292,0.509090909090909,0.6,0.57022434,-4.962609211603796,DOWN,lowest_rmse
CDG,133,106,27,1726,0.5992402871962709,0.468530784006472,0.3855269933215746,0.0,3.4,3.0630567,-9.910096841699936,DOWN,lowest_dir_accuracy
CMF,1058,846,212,1048,67.98664757378828,61.09198739393703,-3.519352217800548,0.6981132075471698,319.0,244.12416,-23.472049916425842,DOWN,highest_rmse
CVN,3427,2741,686,68,0.24540886025275005,0.1498819296631104,0.9936941318661412,0.641399416909621,1.9,1.8576617,-2.2283303110223023,DOWN,top_r2
DDG,1589,1271,318,10,2.313654234148129,2.1636311054229735,-7.255156364800573,0.23270440251572327,2.8,5.6576233,102.05797467912947,UP,bottom_r2
DHT,4094,3275,819,12,32.22174391122048,18.634452540918147,-0.34323562285947706,0.5592185592185592,83.0,18.763128,-77.39382134862693,DOWN,highest_fall
DKC,94,75,19,917,0.2934418581003213,0.2741319353956925,-3.9386789099199637,0.05263157894736842,0.7,0.79877263,14.110376153673451,UP,lowest_dir_accuracy
DPS,2020,1616,404,285,0.03506614278845498,0.023079205680601678,0.9419806183816218,0.4207920792079208,0.3,0.30777812,2.5927066802978556,UP,lowest_rmse
DTL,3561,2848,713,137,0.5101806492997559,0.3414029679157958,0.9959410202162509,0.5189340813464236,10.85,10.817937,-0.2955124674854158,DOWN,top_r2
FCC,59,47,12,1999,0.015750885009765625,0.015750885009765625,0.0,0.0,10.0,10.015751,0.15750885009765625,UP,"lowest_rmse, lowest_dir_accuracy"
FGL,41,32,9,1431,0.6104684512212161,0.3568818622165257,-0.2609193870029589,0.1111111111111111,10.1,10.147891,0.4741687585811839,UP,lowest_dir_accuracy
FRT,1754,1403,351,10,65.73566495035064,60.94819665457788,-5.831998102948675,0.5356125356125356,168.0,102.018074,-39.274955931163966,DOWN,"bottom_r2, highest_rmse"
G20,2329,1863,466,52,0.04731355589388797,0.0318568987396142,0.864231022765474,0.44420600858369097,0.6,0.6048733,0.8122165997823116,UP,lowest_rmse
GH3,62,49,13,728,1.2321770473825682,1.1936766536419212,-6.312392036874472,0.9230769230769231,6.57,5.288253,-19.509089337817795,DOWN,"bottom_r2, highest_dir_accuracy"
HGM,2907,2325,582,936,113.51486770825277,60.45211845096444,-0.39157605827820485,0.761168384879725,290.0,33.803814,-88.34351243643925,DOWN,"highest_fall, highest_rmse"
HKB,2178,1742,436,184,0.04637236547452552,0.03460960355373699,0.809748617178115,0.4380733944954128,0.6,0.6350786,5.846434831619267,UP,lowest_rmse
HLT,211,168,43,932,2.0780097473081565,1.6688171741574311,-0.767028491873158,0.9534883720930233,12.3,9.44211,-23.234877547597502,DOWN,highest_dir_accuracy
HTL,3378,2702,676,199,0.5264868627921551,0.3615606977812637,0.9942580797780947,0.5428994082840237,27.5,27.749268,0.9064275568181818,UP,top_r2
HTR,260,208,52,1314,2.0037378009782327,1.8559183472853436,-5.942280403777579,0.9038461538461539,11.0,7.902951,-28.154993057250977,DOWN,bottom_r2
IBC,1715,1372,343,213,2.4147559007314,1.9077705262631786,0.9102600473438414,0.40524781341107874,1.77,5.1951046,193.5087344067245,UP,highest_rise
IME,1046,836,210,2554,26.064761739556094,9.11599347886585,0.2940927554076228,0.6904761904761905,141.0,35.141087,-75.07724356144033,DOWN,highest_fall
KMR,4205,3364,841,10,0.12591123201082363,0.07432102890558957,0.9937908823450664,0.5219976218787158,3.09,3.0801814,-0.3177553318850771,DOWN,top_r2
KSV,1261,1008,253,933,89.45469963456203,54.93755525852852,-0.45124136008226046,0.549407114624506,159.0,51.71521,-67.47471071639151,DOWN,highest_rmse
L61,3507,2805,702,439,0.7278959566192497,0.41914474312056843,0.9082706519787445,0.4757834757834758,1.3,3.589508,176.11600435697116,UP,highest_rise
LCS,3024,2419,605,514,0.7378516084991603,0.5758537578582763,0.7724628754280538,0.2545454545454545,0.6,1.9526687,225.44477780659994,UP,highest_rise
LUT,3876,3100,776,285,0.5161985495744267,0.37803685870981707,0.9660184654303297,0.3492268041237113,0.5,1.8494879,269.89758014678955,UP,highest_rise
MCH,2078,1662,416,10,51.14596197518,40.03596383608305,-0.6384600561233214,0.5240384615384616,127.4,73.86952,-42.01764356771855,DOWN,highest_rmse
MEF,52,41,11,3305,0.21095725148094446,0.1750480855594982,-1.5460323386476236,1.0,0.8,0.49803704,-37.7453699707985,DOWN,highest_dir_accuracy
MND,236,188,48,1512,1.7814968820864032,1.560480785369873,-3.2967757176691226,0.9583333333333334,10.0,7.780144,-22.19855785369873,DOWN,highest_dir_accuracy
MPT,2147,1717,430,19,0.2683828332529801,0.24750110135522,-5.77028097596913,0.1,0.8,0.9672454,20.905674993991845,UP,lowest_dir_accuracy
MTB,44,35,9,859,2.276909200521402,1.8866806030273442,-2.2289854371467865,1.0,9.8,6.7756643,-30.860568066032567,DOWN,highest_dir_accuracy
MTC,214,171,43,2772,2.285657090081937,1.9399302061214003,0.14379686147422532,0.23255813953488372,1.7,5.6390295,231.70761781580308,UP,highest_rise
NAC,155,124,31,1686,0.307497144623911,0.2687618906940183,-3.236020170982049,0.967741935483871,0.7,0.11672198,-83.32543138946805,DOWN,"highest_fall, highest_dir_accuracy"
NHP,2233,1786,447,108,0.04490491581679672,0.028447833983956828,0.9686017759623914,0.5055928411633109,0.3,0.43080693,43.602311611175544,UP,lowest_rmse
NQT,51,40,11,2054,1.449075242951576,1.3232978283275258,-4.097977612471271,1.0,7.96,6.9518256,-12.665507302212356,DOWN,highest_dir_accuracy
PDN,3313,2650,663,66,51.09049409067509,45.5565156290506,-3.8557782310597526,0.6757164404223228,133.0,51.51609,-61.26609744882225,DOWN,highest_rmse
POM,3582,2865,717,12,0.6344223844076585,0.38022400280089225,0.972909255667214,0.4100418410041841,1.5,4.304644,186.97627385457355,UP,highest_rise
PTG,129,103,26,3467,0.27987659477350274,0.2390476482304243,-2.697098552079579,1.0,0.5,0.052106198,-89.57876041531563,DOWN,"highest_fall, highest_dir_accuracy"
PVH,1493,1194,299,346,0.049172702223939976,0.029529600877028248,0.9413541139320816,0.4180602006688963,0.9,0.91019285,1.132538583543563,UP,lowest_rmse
QBS,2439,1951,488,10,0.4436671244118352,0.2476213299153281,0.559525984574774,0.39549180327868855,0.7,2.047131,192.44729450770788,UP,highest_rise
QNU,196,156,40,1658,2.545434047274578,1.9493938770294186,-1.3982428903960993,0.95,9.61,8.77972,-8.639747071836785,DOWN,highest_dir_accuracy
RCD,2039,1631,408,359,0.8521289021324301,0.7965348048537384,-6.627971707321808,0.12990196078431374,1.5,2.8723986,91.49324099222818,UP,"bottom_r2, lowest_dir_accuracy"
S27,1360,1088,272,1716,0.13394872606031513,0.07882551454445891,0.9950904556173633,0.3125,0.7,0.83334744,19.049634252275744,UP,top_r2
SAL,204,163,41,1504,1.3294602735068364,0.8993822637418422,0.5243608482273108,0.4146341463414634,1.48,4.1114616,177.80146212191195,UP,highest_rise
SBG,351,280,71,10,1.962307496755555,1.8175900016032474,-5.793724041872947,0.5633802816901409,13.15,10.46299,-20.433537588373337,DOWN,bottom_r2
SDX,659,527,132,1552,0.5150133554871001,0.42802267309391134,-0.7272642668438285,0.05303030303030303,1.6,1.6237637,1.4852300286292974,UP,lowest_dir_accuracy
SRA,4010,3208,802,204,0.2238950041881557,0.15377904875320095,0.9938362908635446,0.47256857855361595,4.2,4.2037005,0.08810815357026176,UP,top_r2
TBX,1661,1328,333,2258,0.32394620669600105,0.1918716046903227,0.9945718320565754,0.36036036036036034,19.0,18.909399,-0.4768471968801398,DOWN,top_r2
TFC,2296,1836,460,66,24.861761541167013,14.017184279897936,-0.12771975672893054,0.5826086956521739,78.9,15.923791,-79.81775547312844,DOWN,highest_fall
THM,287,229,58,19,1.3544976298031675,1.3107672921542461,-6.182535519545471,0.41379310344827586,5.7,7.1861577,26.072942164906284,UP,bottom_r2
TKG,810,648,162,10,1.404728937692858,0.9731899237927094,0.7569206634168739,0.3395061728395062,2.2,5.809468,164.06671784140846,UP,highest_rise
TMB,1642,1313,329,439,29.908044693089415,28.522779300770864,-9.990522678104107,0.5805471124620061,70.0,41.752686,-40.353306361607146,DOWN,bottom_r2
TOS,907,725,182,14,48.32269775116749,34.40644909785343,-0.9607251447843859,0.5714285714285714,136.4,60.208374,-55.85896332592559,DOWN,highest_rmse
TQN,164,131,33,1904,0.9091245081174365,0.7946982343269128,0.8819174465986996,0.030303030303030304,13.53,13.811902,2.0835332313644783,UP,lowest_dir_accuracy
TSC,4382,3505,877,10,0.28654337374835476,0.15854799155362517,0.9954903370283466,0.5210946408209807,2.83,2.8612883,1.1055939610349812,UP,top_r2
TTF,4293,3434,859,10,0.2379272858510296,0.14099735071273287,0.9952698988484201,0.5087310826542492,2.55,2.6004174,1.9771519829245248,UP,top_r2
UMC,44,35,9,1685,0.011275746725804827,0.010839627583821473,0.0,0.0,9.41,9.4225,0.13283375852546175,UP,"lowest_rmse, lowest_dir_accuracy"
V11,2378,1902,476,537,0.039902956210065295,0.022823560125186673,0.8379976243858179,0.3802521008403361,0.5,0.4668597,-6.628060340881348,DOWN,lowest_rmse
VC2,4517,3613,904,79,1.0039197018447203,0.5884843684086758,0.9950993860169389,0.4502212389380531,7.9,8.084715,2.3381631585616054,UP,top_r2
VC6,4012,3209,803,243,6.695161357660288,3.7112865256075547,-0.13809838172871913,0.651307596513076,31.0,9.155058,-70.4675551383726,DOWN,highest_fall
VE4,1769,1415,354,1170,88.76174419017191,59.039865165106995,-0.7446378417191122,0.7824858757062146,259.4,28.25399,-89.10794519146498,DOWN,"highest_fall, highest_rmse"
VLP,127,101,26,1722,0.5326821753571924,0.48000231564044954,-4.318847769384691,0.9230769230769231,1.1,0.22499768,-79.54566505822268,DOWN,highest_fall
VXP,134,107,27,1101,5.345504182096049,4.861820116396303,-2.5023454121340403,0.9259259259259259,30.6,24.059515,-21.374133988922722,DOWN,highest_dir_accuracy
WCS,3570,2856,714,35,54.05038108870992,24.115008001247375,0.3199079684938422,0.5,346.5,203.58647,-41.244885553357236,DOWN,highest_rmse
